,id,last_scraped,source,name,host_id,host_name,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,price_quote_checkin_date,price_quote_checkout_date,price_quote_total_price,price_quote_price_per_night,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_ly,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,calculated_host_listings_count,calculated_host_listings_count_entire_homes
0,261065,2026-06-24,city scrape,Westboro Village Executive Suite,1369632,Glenn,14,7,14,7,"Ottawa, Canada",t,1,t,Kitchissippi,45.39084,-75.75621,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,211.33,2026-07-14,2026-07-17,634.0,211.33,3.0,180.0,t,5,6,13,118,2026-06-24,133,18,21,2011-12-24,2026-06-22,4.95,4.98,4.98,4.95,4.95,4.91,0.75,1,1
1,290033,2026-06-24,city scrape,Rural charm close to the city,415201,Daniel,15,3,14,6,"Ottawa, Canada",t,1,t,Rideau-Goulbourn,45.1682,-75.71208,Entire home,Entire home/apt,4,1.0,2.0,2.0,224.81,2026-07-02,2026-07-04,449.62,224.81,2.0,14.0,t,23,53,83,149,2026-06-24,22,10,8,2013-02-19,2026-05-29,5.0,5.0,4.95,4.95,5.0,4.91,0.14,1,1
2,490182,2026-06-24,city scrape,Cozy Basement Studio Old Ottawa East,2401179,Ela,14,1,14,1,"Ottawa, Canada",t,3,t,Capital,45.4055,-75.67612,Private room in home,Private room,1,1.0,2.0,1.0,67.13,2026-08-02,2026-09-01,2013.93,67.13,30.0,365.0,t,0,21,51,326,2026-06-24,12,3,2,2018-04-29,2026-05-31,5.0,5.0,5.0,5.0,4.92,4.83,0.12,1,0
3,674799,2026-06-24,city scrape,Up to 3-bdrm with privacy - quiet & safe,2058676,William,14,2,14,2,"Ottawa, Canada",f,1,t,Gloucester-South Nepean,45.2691,-75.72197,Entire rental unit,Entire home/apt,6,1.0,5.0,4.0,168.5,2026-07-03,2026-07-05,337.0,168.5,1.0,90.0,t,17,45,75,350,2026-06-24,115,19,15,2013-07-02,2026-06-12,4.66,4.68,4.82,4.81,4.73,4.65,0.73,1,1
4,682632,2026-06-24,city scrape,"Adorable 2 bdrm, Central Ottawa PD1",3201295,Greg And Valerie,13,10,13,10,"Ottawa, Canada",t,8,t,Kitchissippi,45.40455,-75.7313,Entire home,Entire home/apt,4,1.0,2.0,2.0,98.06,2027-01-18,2027-02-18,3040.0,98.06,31.0,180.0,t,0,0,0,150,2026-06-24,11,0,2,2015-10-25,2025-06-15,4.82,4.73,4.91,4.91,4.91,4.73,0.08,8,4
5,682634,2026-06-24,city scrape,Highly desirable Ottawa & Wellington Village West!,3201295,Greg And Valerie,13,10,13,10,"Ottawa, Canada",t,8,t,Kitchissippi,45.4003,-75.73144,Entire townhouse,Entire home/apt,4,1.0,2.0,2.0,136.06,2026-11-01,2026-12-02,4218.0,136.06,31.0,1125.0,t,0,0,0,143,2026-06-24,14,3,2,2015-03-09,2026-02-26,4.93,4.93,5.0,5.0,4.93,4.64,0.1,8,4
6,902575,2026-07-02,previous scrape,Room for rent Downtown Ottawa R,3895093,Nicole,13,8,13,8,"Ottawa, Canada",f,1,t,Somerset,45.41753,-75.69297,Private room in rental unit,Private room,1,1.4,2.0,2.0,24.87,2026-07-02,2026-09-30,2238.28,24.87,90.0,1125.0,t,30,60,90,270,2026-07-02,7,0,0,2013-05-27,2016-09-28,4.57,4.86,4.86,5.0,4.86,4.14,0.04,1,0
7,943979,2026-07-02,previous scrape,Smart flat near Center&Glebe+Garage,5108859,Maria,13,4,13,3,"Ottawa, Canada",t,2,t,Somerset,45.41127,-75.69575,Entire rental unit,Entire home/apt,2,1.4,2.0,2.0,44.87,2026-07-03,2026-09-01,2691.99,44.87,60.0,400.0,t,29,59,89,364,2026-07-02,306,3,2,2013-04-19,2026-03-31,4.71,4.68,4.91,4.9,4.79,4.66,1.9,2,2
8,987450,2026-07-02,previous scrape,Central New condo w Balcony/Garage!,5108859,Maria,13,4,13,3,"Ottawa, Canada",t,2,t,Somerset,45.41083,-75.69474,Entire condo,Entire home/apt,2,1.4,2.0,2.0,49.31,2026-11-01,2026-12-31,2958.59,49.31,60.0,400.0,t,0,0,0,243,2026-07-02,330,3,4,2013-05-03,2026-04-26,4.71,4.69,4.92,4.9,4.83,4.68,2.06,2,2
9,1026310,2026-06-24,city scrape,Lakehouse Inspired Retreat Close to Downtown,5649683,Melanie,13,2,10,3,"Ottawa, Canada",f,1,t,Rideau-Rockcliffe,45.45592,-75.65727,Entire home,Entire home/apt,8,2.5,4.0,4.0,617.8,2026-07-02,2026-08-01,18534.0,617.8,30.0,1125.0,t,22,43,51,321,2026-06-24,17,0,0,2016-05-24,2021-12-29,4.76,4.82,4.94,4.94,4.94,4.5,0.14,1,1
